Region,iso,umd_tree_cover_gain__ha,umd_tree_cover_extent_2000__ha
Nigeria,NGA,927800.6388,90840998.02
Norfolk Island,NFK,0,4062.598875
North Korea,PRK,288491.6526,12275519.14
Northern Cyprus,XNC,1628.390621,331406.9142
Norway,NOR,476523.0969,32512221.03
Oman,OMN,1548.268853,30933274.09
Pakistan,PAK,133480.8523,87417630.6
Palau,PLW,135.2840593,48743.20538
Palestina,PSE,1697.128684,621996.6833
Panama,PAN,84108.66155,7510419.904
Papua New Guinea,PNG,266144.8999,46363061.21
Paraguay,PRY,642487.5824,39958667.52
Peru,PER,430186.262,129281868.5
Philippines,PHL,172161.2973,29585658.16
Poland,POL,892072.3004,31239917.8
Portugal,PRT,168606.8774,8955505.678
Puerto Rico,PRI,7140.672702,897037.2746
Qatar,QAT,37.96315468,1162493.8
Republic of Congo,COG,113139.384,34173222.79
Reunion,REU,0,251271.105
Romania,ROU,223889.8109,23833793.64
Russia,RUS,37220539.18,1689455452
Rwanda,RWA,16061.38518,2527769.912
Saint Kitts and Nevis,KNA,426.3304118,26717.78773
Saint Lucia,LCA,143.4998788,61447.62917
Saint Pierre and Miquelon,SPM,31.72227116,22663.41677
Saint Vincent and the Grenadines,VCT,126.819637,39788.97163
Saint-Martin,MAF,24.31125724,5616.342786
San Marino,SMR,19.12284095,6122.35296
Sao Tome and Principe,STP,0,100217.9877
Saudi Arabia,SAU,7598.972118,191598433.6
Senegal,SEN,77187.31443,19688982.71
Serbia,SRB,76226.61139,7823140.491
Seychelles,SYC,1.44203421,20267.93209
Sierra Leone,SLE,102136.7316,7260135.886
Singapore,SGP,1976.969605,69703.69606
Sint Maarten,SXM,16.48019213,3801.387515
Slovakia,SVK,35796.77192,4909915.805
Slovenia,SVN,7767.5743,1998090.785
Solomon Islands,SLB,4916.632946,2853324.006
Somalia,SOM,4188.831614,63353849.52
South Africa,ZAF,388240.8961,121971018.8
South Korea,KOR,109265.3655,10022829.79
South Sudan,SSD,1082860.742,62809870.7
Spain,ESP,381023.9649,50604278.84
Sri Lanka,LKA,60079.2693,6583727.015
Sudan,SDN,216597.5742,187213491.7
Suriname,SUR,23723.90907,14642556.87
Svalbard and Jan Mayen,SJM,0,5442472.374
Swaziland,SWZ,23455.06045,1738333.063
Sweden,SWE,1671285.358,45004558.11
Switzerland,CHE,15072.47249,4124549.642
Syria,SYR,5710.703352,18691798.39
Tajikistan,TJK,19711.95912,14211295.41
Tanzania,TZA,557235.9235,94057690.73
Thailand,THA,1842370.577,51405448.59
Togo,TGO,47915.66472,5699519.202
Trinidad and Tobago,TTO,3320.424597,515899.5945
Tunisia,TUN,10133.39479,15486458.27
Turkey,TUR,473795.0054,78070340.89
Turkmenistan,TKM,419.0466496,48959209.55
Turks and Caicos Islands,TCA,63.76660103,99152.01585
Tuvalu,TUV,0,49.90083499
Uganda,UGA,185026.6241,24143952.94
Ukraine,UKR,926362.4052,60136109.71
United Arab Emirates,ARE,595.9529728,7120447.903
United Kingdom,GBR,473122.8734,24548497.62
United States,USA,13986699.79,947295610.2
United States Minor Outlying Islands,UMI,4.458698645,541.6797628
Uruguay,URY,654495.2983,17746574.34
Uzbekistan,UZB,43149.05844,44755388.1
Vanuatu,VUT,302.5525325,1231886.103
Vatican City,VAT,0.057600842,52.87803968
Venezuela,VEN,491357.3995,91249225.53
Vietnam,VNM,1004758.625,32927599.95
"Virgin Islands, U.S.",VIR,209.2408117,36213.91573
Western Sahara,ESH,0.84684657,26732059.55
Yemen,YEM,7046.676952,45220898.29
Zambia,ZMB,768156.8112,75049201.89
Zimbabwe,ZWE,151989.0684,39068111.13
